,units1,bidirectional1,dropout_rate1,units2,bidirectional2,dropout_rate2,units3,bidirectional3,dropout_rate3,end_conv_kernel_size1,end_conv_units1,n_mfcc,max_freq,frame_length,hop_length,window_type,f1,precision,recall,auc,accuracy,TP,TN,FP,FN
33,128,True,,128,True,70,,,,15,128,110,5000,880,55,triang,79.88,81.30,78.23,87.65,96.99,1918.00,29241.00,437.50,528.50
39,128,True,,128,True,40,,,,15,192,124,7000,880,55,bartlett,79.49,82.54,76.58,87.74,96.99,1872.50,29286.50,392.00,574.00
100,192,False,,128,True,70,256,True,65,15,192,36,8500,880,55,bartlett,79.43,82.52,76.16,86.84,96.99,1867.50,29290.00,388.50,579.00
95,192,False,,128,True,65,192,True,40,18,192,76,6000,880,55,bartlett,79.35,81.40,77.21,87.41,96.93,1893.50,29246.25,432.25,553.00
161,256,True,,64,True,55,,,,12,160,46,5500,880,55,hamming,79.31,82.43,76.24,87.77,96.97,1864.75,29287.25,391.25,581.75
153,192,False,,128,True,70,256,True,65,15,192,52,5500,880,55,bartlett,79.22,81.24,76.92,87.17,96.92,1885.50,29250.25,428.25,561.00
99,256,False,,128,True,,192,True,40,18,192,76,6500,880,55,bartlett,79.19,84.36,74.56,87.48,97.02,1823.25,29343.50,335.00,623.25
146,192,False,,128,True,65,192,True,35,21,192,86,6500,880,55,bartlett,78.89,83.88,74.14,86.83,96.97,1816.50,29336.50,342.00,630.00
164,256,False,,128,True,80,,,,12,96,118,4500,880,55,bartlett,78.89,80.30,77.26,87.20,96.85,1890.50,29222.50,456.00,556.00
127,128,True,,192,True,50,,,,15,224,68,9500,880,55,bartlett,78.78,82.81,74.65,87.17,96.92,1835.00,29301.50,377.00,611.50
26,128,True,,64,True,80,,,,24,96,126,5500,880,220,hamming,78.74,81.47,76.01,87.01,96.87,1858.75,29262.25,416.25,587.75
66,128,True,,64,True,75,,,,27,128,124,4500,880,220,hamming,78.72,82.20,75.28,87.02,96.90,1842.25,29286.75,391.75,604.25
151,192,False,,128,True,75,192,True,35,15,224,60,6500,880,55,bartlett,78.71,82.94,74.55,87.06,96.92,1828.25,29307.75,370.75,618.25
69,128,True,,128,True,75,,,,15,64,110,4000,880,220,hamming,78.71,81.28,75.98,87.11,96.86,1862.50,29254.75,423.75,584.00
152,256,False,,128,True,55,256,True,25,18,160,42,5000,880,55,bartlett,78.71,83.24,74.19,86.88,96.93,1822.75,29316.00,362.50,623.75
67,128,True,,64,True,55,,,,15,96,116,5500,880,220,hamming,78.64,81.32,76.12,87.08,96.86,1858.75,29256.25,422.25,587.75
157,192,False,,128,True,80,192,True,70,18,224,112,3500,880,55,bartlett,78.63,82.49,74.85,86.47,96.90,1834.50,29293.25,385.25,612.00
191,128,False,,256,True,65,256,True,80,12,160,128,8500,880,220,hamming,78.60,80.68,76.34,86.70,96.83,1868.75,29238.50,440.00,577.75
37,192,True,,128,True,70,,,,12,160,108,6000,880,55,hann,78.59,81.86,75.40,86.75,96.87,1844.25,29276.00,402.50,602.25
41,192,True,,128,True,40,,,,9,224,110,9000,880,55,bartlett,78.56,81.98,74.99,86.78,96.87,1843.50,29275.25,403.25,603.00
158,256,False,,128,True,70,256,False,50,15,128,70,7500,880,110,bartlett,78.53,82.20,74.97,86.58,96.88,1834.25,29287.75,390.75,612.25
187,128,False,,128,True,75,,,,15,128,56,5000,880,55,bartlett,78.52,82.95,74.22,87.09,96.90,1819.00,29310.50,368.00,627.50
