,u1,bd1,dr1,u2,bd2,dr2,u3,bd3,dr3,ck1,cf1
0,128,True,,128,True,70,,,,15,128
1,128,True,,128,True,40,,,,15,192
2,192,False,,128,True,70,256,True,65,15,192
3,192,False,,128,True,65,192,True,40,18,192
4,256,True,,64,True,55,,,,12,160
5,192,False,,128,True,70,256,True,65,15,192
6,256,False,,128,True,,192,True,40,18,192
7,192,False,,128,True,65,192,True,35,21,192
8,256,False,,128,True,80,,,,12,96
9,128,True,,192,True,50,,,,15,224
10,128,True,,64,True,80,,,,24,96
11,128,True,,64,True,75,,,,27,128
12,192,False,,128,True,75,192,True,35,15,224
13,128,True,,128,True,75,,,,15,64
14,256,False,,128,True,55,256,True,25,18,160
15,128,True,,64,True,55,,,,15,96
16,192,False,,128,True,80,192,True,70,18,224
17,128,False,,256,True,65,256,True,80,12,160
18,192,True,,128,True,70,,,,12,160
19,192,True,,128,True,40,,,,9,224
20,256,False,,128,True,70,256,False,50,15,128
21,128,False,,128,True,75,,,,15,128
22,64,True,,256,False,70,,,,15,160
23,192,False,,128,True,75,256,True,55,15,192
24,128,False,,128,True,75,256,False,60,18,224
25,256,False,,128,False,55,128,False,,15,224
26,192,True,,192,True,45,,,,12,256
27,128,True,,128,True,80,,,,21,192
28,192,False,,192,True,45,,,,18,32
29,192,False,,,,,,,,12,192
30,128,True,,128,True,,,,,15,192
31,128,True,,64,True,70,,,,18,64
32,128,True,,256,True,60,,,,18,96
33,192,False,,128,True,65,192,True,45,18,192
34,128,False,,128,True,65,,,,18,256
35,128,True,,64,True,40,,,,12,128
36,192,True,,64,True,,,,,18,192
37,192,True,,128,True,45,,,,24,224
38,64,True,,256,True,75,,,,18,96
39,256,False,,128,True,60,,,,21,256
40,64,False,,128,True,,,,,15,192
41,64,True,,128,True,30,,,,15,192
42,192,False,,128,True,65,,,,27,160
43,192,True,,128,True,65,,,,9,160
44,64,True,,64,True,35,,,,18,160
45,192,False,,128,False,60,128,True,,18,64
46,128,True,,128,True,35,,,,15,224
47,128,False,,64,True,55,128,True,50,21,224
48,128,True,,128,False,50,192,True,,12,160
49,128,False,,192,True,35,256,False,55,21,192
50,64,True,,256,True,80,,,,27,96
51,64,True,,128,True,25,,,,21,32
52,192,True,,128,True,75,,,,15,192
53,192,False,,128,True,70,256,True,70,12,224
54,192,False,,128,True,80,128,True,45,15,192
55,256,False,,192,True,70,,,,12,128
56,192,True,,128,True,55,,,,9,128
57,64,True,,256,True,70,,,,18,32
58,128,True,,64,True,75,,,,24,96
59,128,True,,64,True,70,,,,15,192
60,128,True,,128,True,75,,,,15,256
61,128,True,,64,True,50,,,,15,96
62,64,True,,128,True,60,,,,12,128
63,192,True,,128,True,75,,,,15,192
64,128,True,,128,True,55,,,,9,256
65,128,False,,192,True,60,192,True,45,15,192
66,64,True,,128,False,55,,,,15,160
67,256,False,,128,True,40,192,True,30,12,160
68,128,False,,128,True,,,,,12,192
69,128,True,,128,True,80,,,,21,128
70,192,False,,128,True,,192,True,75,12,256
71,128,False,,128,True,65,,,,21,128
72,128,True,,64,True,,64,True,,15,160
