,f1,precision,recall,accuracy,auc,TP,TN,FP,FN
0,79.88,81.30,78.23,96.99,87.65,1918.00,29241.00,437.50,528.50
1,79.49,82.54,76.58,96.99,87.74,1872.50,29286.50,392.00,574.00
2,79.43,82.52,76.16,96.99,86.84,1867.50,29290.00,388.50,579.00
3,79.35,81.40,77.21,96.93,87.41,1893.50,29246.25,432.25,553.00
4,79.31,82.43,76.24,96.97,87.77,1864.75,29287.25,391.25,581.75
5,79.22,81.24,76.92,96.92,87.17,1885.50,29250.25,428.25,561.00
6,79.19,84.36,74.56,97.02,87.48,1823.25,29343.50,335.00,623.25
7,78.89,83.88,74.14,96.97,86.83,1816.50,29336.50,342.00,630.00
8,78.89,80.30,77.26,96.85,87.20,1890.50,29222.50,456.00,556.00
9,78.78,82.81,74.65,96.92,87.17,1835.00,29301.50,377.00,611.50
10,78.74,81.47,76.01,96.87,87.01,1858.75,29262.25,416.25,587.75
11,78.72,82.20,75.28,96.90,87.02,1842.25,29286.75,391.75,604.25
12,78.71,82.94,74.55,96.92,87.06,1828.25,29307.75,370.75,618.25
13,78.71,81.28,75.98,96.86,87.11,1862.50,29254.75,423.75,584.00
14,78.71,83.24,74.19,96.93,86.88,1822.75,29316.00,362.50,623.75
15,78.64,81.32,76.12,96.86,87.08,1858.75,29256.25,422.25,587.75
16,78.63,82.49,74.85,96.90,86.47,1834.50,29293.25,385.25,612.00
17,78.60,80.68,76.34,96.83,86.70,1868.75,29238.50,440.00,577.75
18,78.59,81.86,75.40,96.87,86.75,1844.25,29276.00,402.50,602.25
19,78.56,81.98,74.99,96.87,86.78,1843.50,29275.25,403.25,603.00
20,78.53,82.20,74.97,96.88,86.58,1834.25,29287.75,390.75,612.25
21,78.52,82.95,74.22,96.90,87.09,1819.00,29310.50,368.00,627.50
22,78.51,80.19,76.77,96.80,86.70,1879.75,29216.25,462.25,566.75
23,78.50,83.58,73.82,96.92,86.66,1806.00,29330.00,348.50,640.50
24,78.50,82.05,75.03,96.87,87.08,1837.50,29281.00,397.50,609.00
25,78.49,83.72,73.58,96.93,86.25,1801.75,29336.00,342.50,644.75
26,78.49,80.29,76.95,96.79,86.14,1882.25,29211.25,467.25,564.25
27,78.49,82.57,74.26,96.88,86.81,1826.50,29297.50,381.00,620.00
28,78.46,81.96,75.00,96.86,86.72,1837.25,29279.25,399.25,609.25
29,78.42,82.39,74.60,96.89,86.91,3631.75,58620.00,763.25,1235.00
30,78.42,83.24,73.87,96.90,87.03,1810.25,29318.50,360.00,636.25
31,78.42,80.82,75.91,96.81,86.68,1861.50,29239.00,439.50,585.00
32,78.41,82.67,74.42,96.88,87.05,1821.75,29300.00,378.50,624.75
33,78.41,81.99,74.70,96.86,86.72,1832.50,29283.25,395.25,614.00
34,78.39,83.22,73.97,96.90,86.75,1809.25,29318.50,360.00,637.25
35,78.38,80.54,75.98,96.80,86.32,1862.25,29235.25,443.25,584.25
36,78.38,82.82,74.51,96.88,86.76,1816.75,29305.75,372.75,629.75
37,78.37,82.48,74.19,96.87,86.65,1822.75,29296.00,382.50,623.75
38,78.34,83.30,73.76,96.89,87.12,1806.50,29319.50,359.00,640.00
39,78.33,83.30,73.69,96.89,86.76,1804.75,29321.50,357.00,641.75
40,78.31,82.31,74.34,96.86,85.63,1823.00,29292.25,386.25,623.50
41,78.30,83.27,73.55,96.88,87.03,1806.25,29317.50,361.00,640.25
42,78.28,81.57,75.18,96.83,86.53,1836.75,29269.00,409.50,609.75
43,78.26,82.49,74.29,96.86,85.99,1817.50,29298.00,380.50,629.00
44,78.25,82.79,73.85,96.87,86.93,1809.75,29309.00,369.50,636.75
45,78.24,82.42,74.22,96.85,86.95,1820.00,29292.75,385.75,626.50
46,78.23,81.53,74.94,96.82,86.56,1833.75,29270.50,408.00,612.75
47,78.21,83.58,73.29,96.89,87.00,1794.50,29330.50,348.00,652.00
48,78.20,81.53,75.05,96.82,86.29,1834.25,29268.25,410.25,612.25
49,78.19,81.95,74.49,96.83,86.55,1825.75,29281.00,397.50,620.75
50,78.15,83.70,73.31,96.88,86.17,1789.25,29335.00,343.50,657.25
51,78.12,81.46,74.82,96.81,86.16,1830.75,29269.00,409.50,615.75
52,78.12,81.33,74.91,96.80,86.37,1834.25,29263.25,415.25,612.25
53,78.11,83.74,73.16,96.88,86.64,1787.25,29336.25,342.25,659.25
54,78.10,81.67,74.62,96.81,86.52,1827.00,29273.25,405.25,619.50
55,78.07,82.74,73.63,96.85,86.22,1803.00,29309.25,369.25,643.50
56,78.04,81.31,74.68,96.78,86.27,1836.50,29254.75,423.75,610.00
57,78.02,81.75,74.41,96.80,86.84,1822.75,29275.50,403.00,623.75
58,78.00,82.67,73.72,96.84,87.11,1802.25,29306.25,372.25,644.25
59,78.00,81.72,74.46,96.80,86.55,1822.25,29274.75,403.75,624.25
60,77.99,82.99,73.26,96.84,86.32,1796.00,29315.00,363.50,650.50
61,77.98,83.97,72.47,96.87,86.50,1778.00,29343.00,335.50,668.50
62,77.96,80.98,75.09,96.77,86.55,1836.00,29251.00,427.50,610.50
63,77.96,82.51,73.55,96.82,86.28,1804.50,29300.00,378.50,642.00
64,77.95,82.06,74.03,96.81,86.70,1813.50,29285.25,393.25,633.00
65,77.94,82.15,73.70,96.81,85.81,1808.50,29292.50,386.00,638.00
66,77.93,84.44,72.29,96.90,86.54,3514.25,58745.25,638.00,1352.50
67,77.91,82.87,73.37,96.85,86.51,3571.00,58653.75,729.50,1295.75
68,77.90,81.92,74.02,96.80,85.20,1813.25,29283.00,395.50,633.25
69,77.90,83.20,73.08,96.84,85.97,1790.25,29319.00,359.50,656.25
70,77.88,82.58,73.37,96.82,86.31,1799.50,29303.25,375.25,647.00
71,77.87,82.45,73.60,96.81,86.59,1805.50,29293.25,385.25,641.00
72,77.86,81.62,74.19,96.78,86.31,1816.75,29275.25,403.25,629.75
73,77.86,84.08,72.27,96.87,86.52,1769.75,29348.50,330.00,676.75
74,77.81,83.59,72.64,96.84,86.18,1777.00,29334.25,344.25,669.50
75,77.81,82.07,73.47,96.80,85.84,1804.50,29291.00,387.50,642.00
76,77.79,83.22,72.80,96.83,86.78,1783.00,29324.00,354.50,663.50
77,77.74,81.39,74.35,96.75,86.23,1820.00,29262.50,416.00,626.50
78,77.64,82.16,73.33,96.78,86.09,1796.75,29293.25,385.25,649.75
79,77.63,80.99,74.62,96.73,86.24,1820.50,29255.50,423.00,626.00
80,77.62,83.39,72.21,96.82,86.27,1771.75,29331.50,347.00,674.75
81,77.60,83.42,72.23,96.82,86.72,1771.50,29331.00,347.50,675.00
82,77.58,82.82,72.66,96.80,85.84,1780.50,29315.50,363.00,666.00
83,77.57,82.98,72.55,96.80,85.88,1776.75,29320.75,357.75,669.75
84,77.54,83.45,71.90,96.81,86.29,1766.75,29334.75,343.75,679.75
85,77.54,83.31,72.34,96.81,85.79,1771.00,29328.00,350.50,675.50
86,77.53,83.61,72.10,96.82,86.51,1763.75,29339.00,339.50,682.75
87,77.53,83.81,72.11,96.82,86.59,1763.25,29339.75,338.75,683.25
88,77.50,79.82,74.87,96.67,85.48,1844.75,29209.00,469.50,601.75
89,77.32,81.81,73.12,96.73,85.46,1789.75,29285.50,393.00,656.75
90,77.30,81.97,72.57,96.74,85.69,1784.00,29293.00,385.50,662.50
91,77.22,82.49,72.53,96.75,85.19,1772.50,29307.00,371.50,674.00
