,bidirectional1,bidirectional2,bidirectional3,convolution_at_end,dropout1,dropout2,dropout3,dropout_rate1,dropout_rate2,dropout_rate3,end_conv_kernel_size1,end_conv_units1,frame_length,hop_length,if_block2,if_block3,max_freq,n_mfcc,units1,units2,units3,window_type,loss,accuracy,precision,recall,auc,TP,TN,FP,FN,f1,status
0,1,1.0,1.0,0,0,1.0,1.0,,50.0,25.0,,,1,0,1,1.0,6500.0,78.0,256.0,256.0,128.0,2,-0.7469933434021369,0.9647985696792603,0.8235644996166229,0.6811054348945618,0.8328548967838287,1669.25,29325.0,353.5,777.25,0.7469933434021369,ok
1,0,0.0,0.0,0,1,0.0,0.0,75.0,,,,,1,1,1,1.0,9000.0,18.0,192.0,192.0,128.0,2,-0.7121087797444614,0.9617712497711182,0.8326632976531982,0.6189825385808945,0.8024390637874603,1518.75,29378.25,300.25,927.75,0.7121087797444614,ok
2,0,,,1,0,,,,,,15.0,192.0,0,3,0,,4500.0,58.0,192.0,,,3,-0.7077538298685642,0.9615159779787064,0.8301371932029724,0.614545151591301,0.7886736840009689,3008.75,59077.75,606.25,1878.5,0.7077538298685642,ok
3,1,0.0,,1,1,0.0,,30.0,,,12.0,128.0,0,1,1,0.0,7000.0,10.0,128.0,256.0,,0,-0.7386584712549694,0.96393021941185,0.8182127773761749,0.6731634438037872,0.8292672783136368,3274.75,58658.0,725.25,1592.0,0.7386584712549694,ok
4,1,0.0,1.0,1,1,1.0,1.0,70.0,55.0,55.0,9.0,256.0,1,3,1,1.0,2000.0,14.0,64.0,192.0,128.0,0,-0.7129809675328501,0.9620905667543411,0.8390758037567139,0.6159594357013702,0.7993094027042389,1512.5,29394.75,283.75,934.0,0.7129809675328501,ok
5,1,1.0,0.0,1,0,1.0,0.0,,60.0,,27.0,64.0,0,2,1,1.0,2000.0,56.0,256.0,192.0,192.0,1,-0.769243702188472,0.9679552614688873,0.8433615565299988,0.703349232673645,0.8513612300157547,3431.5,58759.75,623.5,1435.25,0.769243702188472,ok
6,0,0.0,,1,1,1.0,,20.0,60.0,,15.0,160.0,0,3,1,0.0,8500.0,44.0,256.0,64.0,,5,-0.6937133176015006,0.9608006328344345,0.8465591669082642,0.5822871923446655,0.7765342146158218,2866.25,59174.0,510.0,2021.0,0.6937133176015006,ok
7,0,,,0,0,,,,,,,,1,3,0,,7000.0,120.0,64.0,,,1,-0.6873516848599905,0.9589842408895493,0.8169115781784058,0.5915925353765488,0.7704458981752396,1448.25,29359.25,319.25,998.25,0.6873516848599905,ok
8,0,1.0,1.0,0,0,1.0,0.0,,20.0,,,,0,0,1,1.0,1000.0,60.0,256.0,192.0,256.0,0,-0.6313528990694345,0.9539059549570084,0.7982561439275742,0.5189081579446793,0.7038867473602295,2535.75,58753.0,630.25,2331.0,0.6313528990694345,ok
9,0,,,0,1,,,30.0,,,,,0,0,0,,3000.0,116.0,128.0,,,3,-0.6452974214168244,0.9555181562900543,0.8139122575521469,0.5287412330508232,0.7230607718229294,2599.5,58792.75,590.5,2267.25,0.6452974214168244,ok
10,1,,,1,1,,,45.0,,,12.0,160.0,0,1,0,,6000.0,64.0,128.0,,,4,-0.7226692604710113,0.9633855223655701,0.846271201968193,0.6313280612230301,0.8138612508773804,3064.75,58833.0,550.25,1802.0,0.7226692604710113,ok
11,0,1.0,1.0,0,0,1.0,0.0,,20.0,,,,1,2,1,1.0,2000.0,118.0,256.0,128.0,192.0,2,-0.7392965937413459,0.963366374373436,0.8052391111850739,0.6798445135354996,0.8161246925592422,1668.5,29279.75,398.75,778.0,0.7392965937413459,ok
12,1,0.0,,0,1,1.0,,20.0,65.0,,,,1,3,1,0.0,7500.0,86.0,128.0,192.0,,3,-0.6851515329151767,0.9581987857818604,0.8017070889472961,0.5952112674713135,0.7665185779333115,1461.0,29321.25,357.25,985.5,0.6851515329151767,ok
13,1,1.0,1.0,0,1,1.0,0.0,35.0,60.0,,,,0,3,1,1.0,1500.0,38.0,64.0,192.0,128.0,4,-0.277693412682126,0.9318532943725586,0.7006985247135162,0.17177412286400795,0.3795037642121315,845.75,59325.75,358.25,4041.5,0.277693412682126,ok
14,1,0.0,1.0,0,1,0.0,0.0,60.0,,,,,0,3,1,1.0,1500.0,102.0,256.0,128.0,64.0,0,-0.410857908847185,0.9387350678443909,0.750882089138031,0.27949193492531776,0.4891628995537758,1379.25,59236.5,447.5,3508.0,0.410857908847185,ok
15,0,0.0,0.0,0,0,0.0,0.0,,,,,,0,2,1,1.0,2500.0,104.0,256.0,128.0,128.0,5,-0.5694908525490455,0.9493612945079803,0.7956517785787582,0.4401123523712158,0.6345987021923065,2151.75,58845.0,538.25,2715.0,0.5694908525490455,ok
16,0,,,1,0,,,,,,9.0,96.0,0,1,0,,8000.0,42.0,128.0,,,5,-0.7245674942381188,0.9632621705532074,0.8360849171876907,0.6346055567264557,0.8055941462516785,3104.5,58785.25,598.0,1762.25,0.7245674942381188,ok
17,0,,,1,1,,,40.0,,,24.0,128.0,1,0,0,,7500.0,28.0,128.0,,,5,-0.7646993688406599,0.9669239073991776,0.8318140357732773,0.7040911018848419,0.8467958867549896,1726.5,29336.0,342.5,720.0,0.7646993688406599,ok
18,1,0.0,0.0,0,1,1.0,1.0,65.0,50.0,30.0,,,0,3,1,1.0,10000.0,46.0,128.0,128.0,128.0,2,-0.3996496972927693,0.93894924223423,0.7751036882400513,0.26588068529963493,0.49754348397254944,1312.0,59317.5,366.5,3575.25,0.3996496972927693,ok
19,0,,,1,0,,,,,,21.0,128.0,1,2,0,,6500.0,106.0,128.0,,,1,-0.7655949436658422,0.9668057709932327,0.8271072804927826,0.710196316242218,0.851568266749382,1741.25,29317.5,361.0,705.25,0.7655949436658422,ok
20,1,,,1,0,,,,,,27.0,64.0,1,2,0,,4500.0,88.0,192.0,,,1,-0.7631777514282635,0.9658029973506927,0.8053563833236694,0.7232013642787933,0.8442624658346176,1770.0,29256.5,422.0,676.5,0.7631777514282635,ok
21,1,,,1,0,,,,,,21.0,32.0,1,2,0,,5000.0,74.0,192.0,,,1,-0.7629310344827587,0.9666121900081635,0.8289790451526642,0.7032686322927475,0.8466394543647766,1725.75,29326.75,351.75,720.75,0.7629310344827587,ok
22,1,,,1,0,,,,,,27.0,32.0,1,2,0,,4000.0,98.0,64.0,,,1,-0.7642258731367643,0.9662701189517975,0.8147469162940979,0.7167910784482956,0.8443239778280258,1756.0,29285.5,393.0,690.5,0.7642258731367643,ok
23,0,,,1,0,,,,,,21.0,96.0,1,2,0,,3500.0,52.0,192.0,,,1,-0.7489263296993723,0.9645095020532608,0.8107120543718338,0.6966156661510468,0.8319956511259079,1700.25,29284.75,393.75,746.25,0.7489263296993723,ok
24,0,,,1,0,,,,,,24.0,224.0,0,2,0,,5500.0,30.0,64.0,,,1,-0.7069655253559243,0.9612327516078949,0.8248134553432465,0.6173804700374603,0.7968104481697083,3004.25,58755.25,628.0,1862.5,0.7069655253559243,ok
25,1,,,1,0,,,,,,21.0,64.0,1,2,0,,9500.0,88.0,192.0,,,1,-0.7577517256491728,0.9655838459730148,0.8172863274812698,0.7033001035451889,0.838569164276123,1729.0,29290.5,388.0,717.5,0.7577517256491728,ok
26,1,1.0,,1,0,1.0,,,80.0,,24.0,96.0,1,2,1,0.0,5500.0,126.0,128.0,64.0,,1,-0.7873557132267288,0.9687463194131851,0.814650297164917,0.7600896209478378,0.8700999170541763,1858.75,29262.25,416.25,587.75,0.7873557132267288,ok
27,1,1.0,,1,0,1.0,,,80.0,,24.0,64.0,0,2,1,0.0,5500.0,70.0,192.0,64.0,,4,-0.7190906168726805,0.9625928401947021,0.8319616466760635,0.630921021103859,0.8121941685676575,3076.0,58770.75,612.5,1790.75,0.7190906168726805,ok
28,1,1.0,,1,0,1.0,,,80.0,,27.0,96.0,1,2,1,0.0,3500.0,80.0,64.0,256.0,,1,-0.781459846044658,0.9688455909490585,0.8369827270507812,0.7331319451332092,0.8616807162761688,1789.25,29335.0,343.5,657.25,0.781459846044658,ok
